"id","year","state_name","state_code","residence_type","households_with_loom","households_without_loom","households_with_pitloom_with_dobby_jacquard","households_with_other_pitlooms","households_with_framelooms_with_dobby_jacquard","households_with_other_frame_looms","households_with_loin_looms","households_with_other_looms","non_commercial_handloom_household","households_handloom_as_occupation_and_income","households_handloom_for_dmstc_and_cmrcl_purpose","households_weaving_dhoti_sarong_lungi_angavastram","households_weaving_saree","households_weaving_dress_material_suiting_shirting","households_weaving_towel_napkin_duster_gamcha","households_weaving_bedsheet_furnishings_blanket","households_weaving_shawls_mekhla_chadder","households_weaving_durries_rugs_mats","households_weaving_others","avg_prod_major_fabric_per_weaver_per_day"
57,"2019-2020","Sikkim","11","Rural",118.0,512.0,0.0,16.0,43.0,38.0,9.0,24.0,6.0,111.0,1.0,0.0,0.0,6.0,465.0,182.0,67.0,64.0,141.0,24.0
58,"2019-2020","Sikkim","11","Urban",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
59,"2019-2020","Tamil Nadu","33","Rural",117348.0,4235.0,66467.0,13432.0,7444.0,18245.0,0.0,22677.0,0.0,117348.0,0.0,14318.0,72028.0,999.0,6233.0,13318.0,2439.0,2263.0,11795.0,10.0
60,"2019-2020","Tamil Nadu","33","Urban",53854.0,3102.0,22889.0,2952.0,4535.0,19307.0,0.0,12768.0,0.0,53854.0,0.0,9717.0,34402.0,651.0,4230.0,7110.0,73.0,354.0,1280.0,9.0
61,"2019-2020","Telangana","36","Rural",6949.0,8209.0,2470.0,4427.0,187.0,518.0,0.0,526.0,0.0,6949.0,0.0,505.0,8879.0,2051.0,485.0,1586.0,41.0,764.0,826.0,5.0
62,"2019-2020","Telangana","36","Urban",2641.0,3636.0,1187.0,1756.0,62.0,360.0,0.0,51.0,0.0,2641.0,0.0,83.0,4504.0,368.0,118.0,600.0,19.0,578.0,75.0,7.0
63,"2019-2020","The Dadra and Nagar Haveli and Daman and Diu","38","Rural","","","","","","","","","","","","","","","","","","","",""
64,"2019-2020","The Dadra and Nagar Haveli and Daman and Diu","38","Urban","","","","","","","","","","","","","","","","","","","",""
65,"2019-2020","Tripura","16","Rural",103401.0,6602.0,19868.0,6344.0,6298.0,6460.0,110744.0,13253.0,82864.0,19560.0,977.0,64189.0,47504.0,12385.0,10723.0,5076.0,3879.0,3199.0,3997.0,5.0
66,"2019-2020","Tripura","16","Urban",1748.0,14.0,191.0,191.0,25.0,66.0,1645.0,628.0,713.0,1027.0,8.0,466.0,363.0,300.0,221.0,308.0,136.0,543.0,329.0,9.0
67,"2019-2020","Uttar Pradesh","09","Rural",56972.0,14339.0,18549.0,36421.0,2461.0,6132.0,0.0,1504.0,0.0,56972.0,0.0,5485.0,19036.0,1002.0,2234.0,4639.0,6093.0,33926.0,3926.0,13.0
68,"2019-2020","Uttar Pradesh","09","Urban",22613.0,14419.0,9764.0,12849.0,788.0,1202.0,0.0,2062.0,0.0,22613.0,0.0,3485.0,15113.0,560.0,1048.0,2520.0,784.0,14452.0,1494.0,12.0
69,"2019-2020","Uttarakhand","05","Rural",3684.0,928.0,151.0,1546.0,2.0,1907.0,0.0,505.0,0.0,3684.0,0.0,524.0,13.0,20.0,18.0,652.0,1969.0,2877.0,391.0,12.0
70,"2019-2020","West Bengal","19","Rural",192486.0,110987.0,95625.0,46048.0,24776.0,28597.0,21079.0,35673.0,17303.0,175180.0,3.0,21606.0,208525.0,4474.0,57778.0,2674.0,12814.0,2795.0,20615.0,8.0
71,"2019-2020","West Bengal","19","Urban",20453.0,17872.0,16735.0,2979.0,3746.0,2589.0,126.0,526.0,66.0,20386.0,1.0,2340.0,32789.0,494.0,1297.0,153.0,210.0,379.0,4092.0,7.0
