"id","year","state","state_code","residence_type","non_hh_in_company","non_hh_in_cooperativ_society","non_hh_under_govt_or_corporation","non_hh_under_producer_group","non_hh_under_others_entities","non_hh_pitloom_with_dobby_jacquard","non_hh_frameloom_with_dobby_jacquard","non_hh_with_other_framelooms","non_hh_working_with_loinlooms","non_hh_working_with_other_looms","non_hh_prod_dhoti_sarong_lungi_angavastram","non_hh_prod_fabric_saree","non_hh_prod_dress_material","non_hh_prod_towel_napkin_duster_gamcha","non_hh_prod_bedsheet_furnishings_blanket","non_hh_prod_shawls_mekhla_chadder_loi_stole","non_hh_prod_durries_rugs_mats","non_hh_prod_other_major_fabrics","non_hh_usage_cotton_1_to_20","non_hh_usage_cotton_21_to_40","non_hh_usage_cotton_41_to_80","non_hh_usage_cotton_above_80","non_hh_usage_viscose_blends","non_hh_usage_muga_silk","non_hh_usage_eric_silk","non_hh_usage_mulberry_silk","non_hh_usage_tussar_silk","non_hh_usage_linen","non_hh_usage_wool","non_hh_usage_acrylic_wool","non_hh_usage_polyester_blends","non_hh_usage_jute","non_hh_usage_zari","non_hh_usage_other_type_of_yarns","non_hh_input_hank_yarn_in_open_market","non_hh_input_hank_yarn_master_weavers_group","non_hh_input_hank_yarn_cooperative_society","non_hh_input_hank_yarn_nhdc","non_hh_input_hank_yarn_khadi_n_vlg_indust","non_hh_input_other_types_of_hank_yarn","non_hh_input_dyes_chemicals_open_market","non_hh_input_dyes_chemicals_master_weavers_group","non_hh_input_dyes_chemicals_cooperative_society","non_hh_input_dyes_chemicals_nhdc","non_hh_input_dyes_chemicals_khadi_vlg_indust","non_hh_input_dyes_chemicals_other_types","non_hh_input_dyed_yarn_open_market","non_hh_input_dyed_yarn_master_weavers_group","non_hh_input_dyed_yarn_cooperative_society","non_hh_input_dyed_yarn_nhdc","non_hh_input_dyed_yarn_khadi_village_industries","non_hh_input_dyed_yarn_other_types","non_hh_sales_local_market","non_hh_sales_master_weaver_group","non_hh_sales_cooperative_society","non_hh_sales_organized_fairs_exhibition","non_hh_sales_export","non_hh_sales_ecommerce","non_hh_sales_other_sources"
33,"2019-2020","Ladakh","37","Urban",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"2019-2020","Lakshadweep","31","Rural","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35,"2019-2020","Lakshadweep","31","Urban","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
36,"2019-2020","Madhya Pradesh","23","Rural",2.0,19.0,10.0,9.0,10.0,8.0,62.0,614.0,0.0,111.0,5.0,17.0,8.0,2.0,11.0,6.0,11.0,16.0,11.0,27.0,5.0,14.0,0.0,2.0,4.0,2.0,4.0,4.0,7.0,2.0,0.0,1.0,8.0,1.0,28.0,4.0,10.0,8.0,0.0,1.0,5.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,20.0,2.0,2.0,15.0
37,"2019-2020","Madhya Pradesh","23","Urban",4.0,9.0,3.0,8.0,6.0,101.0,17.0,307.0,0.0,44.0,0.0,20.0,2.0,0.0,5.0,1.0,1.0,9.0,19.0,8.0,2.0,3.0,0.0,2.0,9.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,5.0,1.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,10.0,3.0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,15.0,1.0,0.0,8.0
38,"2019-2020","Maharashtra","27","Rural",0.0,3.0,9.0,0.0,2.0,700.0,0.0,12.0,0.0,14.0,2.0,7.0,6.0,1.0,1.0,1.0,1.0,8.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,1.0
39,"2019-2020","Maharashtra","27","Urban",0.0,14.0,1.0,8.0,3.0,2.0,11.0,172.0,0.0,57.0,4.0,12.0,14.0,2.0,3.0,3.0,1.0,0.0,5.0,10.0,4.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,1.0,25.0,0.0,0.0,15.0,1.0,2.0,0.0
40,"2019-2020","Manipur","14","Rural",0.0,85.0,26.0,25.0,4.0,10.0,59.0,86.0,500.0,22.0,20.0,4.0,4.0,2.0,0.0,121.0,1.0,1.0,11.0,8.0,1.0,3.0,0.0,5.0,1.0,3.0,0.0,1.0,4.0,119.0,4.0,0.0,2.0,1.0,79.0,1.0,0.0,0.0,0.0,72.0,7.0,0.0,2.0,1.0,0.0,0.0,117.0,2.0,0.0,0.0,0.0,114.0,135.0,0.0,0.0,3.0,2.0,0.0,123.0
41,"2019-2020","Manipur","14","Urban",0.0,6.0,0.0,1.0,0.0,51.0,1.0,11.0,1.0,41.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,1.0,0.0,3.0
42,"2019-2020","Meghalaya","17","Rural",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
